Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,8.0,524,0.015267,2.025,259,8.0,2.496,,2.025,2.025
2,13.0,801,0.022472,12.256,65,18.0,2.407,0.006999,12.256,14.281
3,10.0,290,0.013793,8.961,32,4.0,2.448,0.005634,8.961,23.242
4,9.5,602,0.013289,18.72,32,8.0,2.367,0.006492,18.72,41.962
5,11.2,738,0.02439,22.584,33,18.0,2.491,0.006537,22.584,64.546
6,10.17,369,0.01355,11.634,32,5.0,2.477,0.006532,11.634,76.18
7,10.57,593,0.021922,18.585,32,13.0,2.42,0.006143,18.585,94.76500000000001
8,10.25,465,0.017204,14.288,33,8.0,2.495,0.008808,14.288,109.05300000000001
9,10.11,696,0.012931,21.612,32,9.0,2.509,0.006332,21.612,130.66500000000002
10,11.0,836,0.022727,25.769,32,19.0,2.455,0.006379,25.769,156.43400000000003
11,10.55,370,0.016216,11.536,32,6.0,2.481,0.007207,11.536,167.97000000000003
12,10.83,929,0.01507,29.052,32,14.0,2.45,0.006895,29.052,197.02200000000002
13,10.46,488,0.012295,15.211,32,6.0,2.541,0.005901,15.211,212.23300000000003
14,10.21,292,0.023973,8.965,33,7.0,2.387,0.005788,8.965,221.19800000000004
15,10.4,722,0.018006,22.403,32,13.0,2.572,0.006517,22.403,243.60100000000003
16,10.12,375,0.016,11.812,32,6.0,2.549,0.006612,11.812,255.41300000000004
17,9.82,348,0.014368,10.665,33,5.0,2.529,0.006602,10.665,266.07800000000003
18,9.94,524,0.022901,16.165,32,12.0,2.427,0.00741,16.165,282.24300000000005
19,9.89,566,0.015901,17.601,32,9.0,2.473,0.010747,17.601,299.84400000000005
20,9.85,434,0.020737,13.506,32,9.0,2.44,0.007492,13.506,313.35
21,9.67,454,0.013216,13.948,33,6.0,2.436,0.00832,13.948,327.298
22,9.55,394,0.017766,12.246,32,7.0,2.391,0.009255,12.246,339.544
23,9.61,514,0.021401,16.224,32,11.0,2.543,0.00742,16.224,355.768
24,9.46,447,0.013423,13.9,32,6.0,2.557,0.008552,13.9,369.66799999999995
25,9.64,744,0.018817,23.134,32,14.0,2.565,0.007945,23.134,392.80199999999996
26,9.62,520,0.017308,16.134,32,9.0,2.533,0.00719,16.134,408.936
27,9.93,919,0.019587,28.434,32,18.0,2.541,0.008207,28.434,437.37
28,9.82,393,0.017812,12.178,32,7.0,2.532,0.006461,12.178,449.548
29,9.69,406,0.014778,12.49,33,6.0,2.537,0.00802,12.49,462.038
30,9.8,681,0.01909,20.865,33,13.0,2.468,0.006713,20.865,482.903
31,9.65,386,0.012953,12.081,32,5.0,2.57,0.008931,12.081,494.98400000000004
32,10.06,759,0.030303,23.45,32,23.0,2.559,0.008454,23.45,518.4340000000001
33,10.12,509,0.023576,15.791,32,12.0,2.554,0.006739,15.791,534.2250000000001
34,9.94,291,0.013746,8.999,32,4.0,2.478,0.007488,8.999,543.2240000000002
35,9.94,512,0.019531,15.978,32,10.0,2.459,0.00975,15.978,559.2020000000001
36,9.78,498,0.008032,15.452,32,4.0,2.432,0.008107,15.452,574.6540000000001
37,9.62,317,0.012618,9.643,33,4.0,2.413,0.008044,9.643,584.2970000000001
38,9.53,479,0.012526,14.837,32,6.0,2.453,0.0091,14.837,599.1340000000001
39,9.36,433,0.006928,13.603,32,3.0,2.529,0.007894,13.603,612.7370000000001
40,9.35,393,0.022901,12.136,32,9.0,2.417,0.007473,12.136,624.873
41,9.37,538,0.018587,16.82,32,10.0,2.375,0.006572,16.82,641.6930000000001
42,9.29,498,0.012048,15.356,32,6.0,2.554,0.006779,15.356,657.0490000000001
43,9.26,370,0.021622,11.624,32,8.0,2.424,0.005922,11.624,668.6730000000001
44,9.3,700,0.015714,21.81,32,11.0,2.531,0.005667,21.81,690.4830000000001
45,9.38,606,0.021452,18.707,32,13.0,2.427,0.005536,18.707,709.19
46,9.28,343,0.014577,10.766,32,5.0,2.484,0.006286,10.766,719.956
47,9.34,573,0.020942,17.797,32,12.0,2.545,0.005543,17.797,737.753
48,9.56,993,0.020141,30.53,33,20.0,2.546,0.005336,30.53,768.283
49,9.49,355,0.016901,11.097,32,6.0,2.442,0.005913,11.097,779.38
50,9.48,348,0.025862,11.062,31,9.0,2.517,0.00584,11.062,790.442
51,9.37,334,0.011976,10.429,32,4.0,2.524,0.005667,10.429,800.871
52,9.48,676,0.022189,20.933,32,15.0,2.528,0.005739,20.933,821.804
53,9.64,708,0.025424,21.953,32,18.0,2.552,0.005625,21.953,843.757
54,9.57,564,0.010638,17.569,32,6.0,2.537,0.005274,17.569,861.3259999999999
55,9.62,614,0.019544,18.988,32,12.0,2.625,0.006211,18.988,880.3139999999999
56,9.57,496,0.014113,15.603,32,7.0,2.554,0.005443,15.603,895.9169999999998
57,9.54,365,0.021918,11.467,32,8.0,2.4,0.008181,11.467,907.3839999999998
58,9.47,312,0.016026,9.752,32,5.0,2.513,0.007777,9.752,917.1359999999997
59,9.56,710,0.021127,22.14,32,15.0,2.594,0.007444,22.14,939.2759999999997
60,9.55,536,0.016791,16.784,32,9.0,2.345,0.007322,16.784,956.0599999999997
61,9.48,451,0.011086,13.966,32,5.0,2.636,0.006488,13.966,970.0259999999997
62,9.45,448,0.017857,13.928,32,8.0,2.397,0.006983,13.928,983.9539999999997
63,9.48,511,0.021526,15.809,32,11.0,2.526,0.005913,15.809,999.7629999999997
64,9.44,467,0.014989,14.598,32,7.0,2.43,0.005064,14.598,1014.3609999999996
65,9.42,352,0.022727,10.635,33,8.0,2.412,0.005242,10.635,1024.9959999999996
66,9.42,431,0.023202,13.452,32,10.0,2.429,0.00576,13.452,1038.4479999999996
67,9.36,363,0.013774,11.244,32,5.0,2.54,0.007169,11.244,1049.6919999999996
68,9.4,532,0.022556,16.415,32,12.0,2.357,0.005515,16.415,1066.1069999999995
69,9.29,307,0.006515,9.742,32,2.0,2.505,0.005819,9.742,1075.8489999999995
70,9.3,598,0.016722,18.588,32,10.0,2.545,0.004654,18.588,1094.4369999999994
71,9.34,589,0.020374,18.161,32,12.0,2.418,0.005342,18.161,1112.5979999999995
72,9.43,636,0.025157,19.655,32,16.0,2.5,0.006012,19.655,1132.2529999999995
73,9.52,1062,0.015066,33.058,32,16.0,2.588,0.005688,33.058,1165.3109999999995
74,9.54,622,0.017685,19.257,32,11.0,2.585,0.005196,19.257,1184.5679999999995
75,9.53,570,0.015789,17.639,32,9.0,2.593,0.005916,17.639,1202.2069999999994
76,9.57,400,0.03,12.504,32,12.0,2.565,0.006409,12.504,1214.7109999999993
77,9.56,475,0.018947,14.582,33,9.0,2.577,0.008705,14.582,1229.2929999999994
78,9.49,291,0.013746,9.099,32,4.0,2.268,0.006637,9.099,1238.3919999999994
79,9.46,375,0.018667,11.569,32,7.0,2.552,0.00719,11.569,1249.9609999999993
80,9.44,522,0.015326,16.287,32,8.0,2.557,0.006189,16.287,1266.2479999999994
81,9.46,550,0.02,16.922,33,11.0,2.582,0.00577,16.922,1283.1699999999994
82,9.39,310,0.012903,9.814,32,4.0,2.445,0.005356,9.814,1292.9839999999995
83,9.39,524,0.017176,16.355,32,9.0,2.672,0.005825,16.355,1309.3389999999995
84,9.35,401,0.014963,12.576,32,6.0,2.486,0.005815,12.576,1321.9149999999995
85,9.29,383,0.013055,11.998,32,5.0,2.509,0.004342,11.998,1333.9129999999996
86,9.34,541,0.02403,17.027,32,13.0,2.577,0.004542,17.027,1350.9399999999996
87,9.45,1230,0.015447,37.722,33,19.0,2.487,0.004655,37.722,1388.6619999999996
88,9.41,482,0.012448,14.857,32,6.0,2.566,0.003859,14.857,1403.5189999999996
89,9.42,624,0.016026,19.217,32,10.0,2.458,0.004361,19.217,1422.7359999999996
90,9.34,329,0.009119,10.137,32,3.0,2.292,0.004212,10.137,1432.8729999999996
91,9.36,463,0.023758,14.345,32,11.0,2.572,0.005106,14.345,1447.2179999999996
92,9.37,483,0.020704,14.904,32,10.0,2.375,0.004775,14.904,1462.1219999999996
93,9.4,747,0.016064,23.005,32,12.0,2.542,0.003754,23.005,1485.1269999999997
94,9.4,521,0.019194,16.183,32,10.0,2.578,0.004529,16.183,1501.3099999999997
95,9.44,729,0.017833,22.602,32,13.0,2.435,0.004421,22.602,1523.9119999999998
96,9.41,423,0.014184,13.215,32,6.0,2.48,0.007182,13.215,1537.1269999999997
97,9.47,787,0.02033,24.267,32,16.0,2.572,0.006501,24.267,1561.3939999999998
98,9.48,425,0.023529,13.1,32,10.0,2.353,0.006435,13.1,1574.4939999999997
99,9.42,389,0.010283,11.987,32,4.0,2.488,0.005397,11.987,1586.4809999999998
100,9.45,652,0.018405,20.151,32,12.0,2.523,0.004916,20.151,1606.6319999999998
101,9.5,713,0.018233,22.234,32,13.0,2.585,0.005011,22.234,1628.8659999999998
102,9.43,521,0.021113,15.968,33,11.0,2.499,0.004449,15.968,1644.8339999999998
103,9.59,851,0.023502,26.602,32,20.0,2.501,0.004919,26.602,1671.436
104,9.57,407,0.014742,12.598,32,6.0,2.482,0.004553,12.598,1684.0339999999999
105,9.45,436,0.013761,13.622,32,6.0,2.603,0.004632,13.622,1697.656
106,9.56,779,0.020539,23.93,33,16.0,2.487,0.004666,23.93,1721.586
107,9.61,834,0.021583,25.956,32,18.0,2.463,0.004726,25.956,1747.542
108,9.63,612,0.01634,18.874,32,10.0,2.459,0.004142,18.874,1766.416
109,9.67,656,0.019817,20.538,32,13.0,2.546,0.005124,20.538,1786.954
110,9.62,864,0.016204,27.014,32,14.0,2.419,0.004908,27.014,1813.9679999999998
111,9.59,443,0.006772,13.591,33,3.0,2.537,0.004441,13.591,1827.5589999999997
112,9.54,568,0.015845,17.542,32,9.0,2.57,0.004688,17.542,1845.1009999999997
113,9.55,320,0.021875,9.993,32,7.0,2.653,0.007079,9.993,1855.0939999999996
114,9.63,787,0.01906,24.245,32,15.0,2.461,0.007296,24.245,1879.3389999999995
