Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,16.0,714,0.022409,3.359,213,16.0,3.098,,3.359,3.359
2,15.0,484,0.028926,1.882,257,14.0,3.066,,1.882,5.241
3,15.0,549,0.027322,2.076,264,15.0,2.995,,2.076,7.317
4,15.75,549,0.032787,1.991,276,18.0,3.08,,1.991,9.308
5,13.2,376,0.007979,1.049,358,3.0,2.851,,1.049,10.357
6,13.67,603,0.026534,1.759,343,16.0,3.114,,1.759,12.116
7,14.86,881,0.024972,2.604,338,22.0,2.946,,2.604,14.719999999999999
8,14.88,485,0.030928,1.619,299,15.0,3.091,,1.619,16.339
9,15.44,641,0.031201,1.992,322,20.0,2.981,,1.992,18.331
10,16.0,642,0.03271,2.09,307,21.0,2.91,,2.09,20.421
11,15.73,471,0.027601,1.721,274,13.0,2.902,,1.721,22.142
12,15.67,511,0.029354,1.83,279,15.0,3.137,,1.83,23.972
13,15.15,400,0.0225,1.208,331,9.0,2.808,,1.208,25.18
14,15.14,714,0.021008,2.735,261,15.0,3.155,,2.735,27.915
15,14.73,390,0.023077,1.797,217,9.0,3.203,,1.797,29.712
16,14.88,609,0.027915,2.281,267,17.0,3.036,,2.281,31.993
17,15.06,656,0.027439,2.234,294,18.0,3.128,,2.234,34.227
18,14.39,266,0.011278,0.784,339,3.0,2.801,,0.784,35.010999999999996
19,14.32,503,0.025845,1.461,344,13.0,3.083,,1.461,36.471999999999994
20,14.9,915,0.028415,2.622,349,26.0,3.096,,2.622,39.093999999999994
21,14.38,356,0.011236,1.037,343,4.0,2.753,,1.037,40.13099999999999
22,14.41,486,0.030864,1.421,342,15.0,2.936,,1.421,41.55199999999999
23,14.39,557,0.025135,1.642,339,14.0,3.048,,1.642,43.193999999999996
24,14.21,544,0.018382,1.483,367,10.0,2.943,,1.483,44.67699999999999
25,14.36,560,0.032143,1.468,381,18.0,3.036,,1.468,46.144999999999996
26,14.62,1079,0.019462,2.803,385,21.0,2.853,,2.803,48.94799999999999
27,14.33,323,0.021672,0.9,359,7.0,3.133,,0.9,49.84799999999999
28,14.04,422,0.014218,1.217,347,6.0,2.912,,1.217,51.06499999999999
29,14.21,670,0.028358,1.898,353,19.0,3.278,,1.898,52.962999999999994
30,14.2,650,0.021538,1.784,364,14.0,3.023,,1.784,54.74699999999999
31,14.16,486,0.026749,1.323,367,13.0,2.975,,1.323,56.06999999999999
32,14.31,594,0.031987,1.654,359,19.0,2.939,,1.654,57.72399999999999
33,14.06,321,0.018692,0.848,379,6.0,2.956,,0.848,58.57199999999999
34,13.85,417,0.016787,1.149,363,7.0,3.046,,1.149,59.72099999999999
35,14.14,917,0.026172,2.368,387,24.0,3.029,,2.368,62.08899999999999
36,14.11,826,0.015738,2.15,384,13.0,2.972,,2.15,64.23899999999999
