Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,8.0,524,0.015267,3.352,156,8.0,2.496,,3.352,3.352
2,11.5,765,0.019608,1.898,403,15.0,2.408,,1.898,5.25
3,9.67,281,0.021352,0.657,428,6.0,2.374,,0.657,5.907
4,9.75,579,0.017271,1.411,410,10.0,2.42,,1.411,7.318
5,11.0,542,0.02952,1.314,412,16.0,2.378,,1.314,8.632
6,10.83,469,0.021322,1.14,411,10.0,2.608,,1.14,9.772
7,11.0,538,0.022305,1.296,415,12.0,2.439,,1.296,11.068
8,10.5,449,0.01559,1.104,407,7.0,2.492,,1.104,12.172
9,10.22,524,0.015267,1.388,378,8.0,2.555,,1.388,13.56
10,9.7,437,0.011442,1.294,338,5.0,2.494,,1.294,14.854000000000001
11,9.0,409,0.00489,1.196,342,2.0,2.44,,1.196,16.05
12,8.92,365,0.021918,1.047,349,8.0,2.397,,1.047,17.097
13,9.08,531,0.020716,1.461,363,11.0,2.469,,1.461,18.558
14,9.0,454,0.017621,1.195,380,8.0,2.476,,1.195,19.753
15,8.87,342,0.020468,0.907,377,7.0,2.494,,0.907,20.66
16,9.06,777,0.015444,2.03,383,12.0,2.494,,2.03,22.69
17,9.06,577,0.015598,1.548,373,9.0,2.53,,1.548,24.238
18,8.83,458,0.010917,1.225,374,5.0,2.629,,1.225,25.463
19,8.89,407,0.02457,1.181,345,10.0,2.56,,1.181,26.644000000000002
20,9.15,921,0.015201,2.652,347,14.0,2.421,,2.652,29.296000000000003
21,9.05,444,0.015766,1.289,345,7.0,2.57,,1.289,30.585000000000004
22,9.0,362,0.022099,1.029,352,8.0,2.331,,1.029,31.614000000000004
23,9.13,615,0.019512,1.735,354,12.0,2.498,,1.735,33.349000000000004
24,9.25,598,0.020067,1.677,357,12.0,2.564,,1.677,35.026
25,9.28,474,0.021097,1.34,354,10.0,2.622,,1.34,36.36600000000001
26,9.08,368,0.01087,1.053,350,4.0,2.435,,1.053,37.419000000000004
27,9.74,916,0.029476,2.598,353,27.0,2.607,,2.598,40.017
28,10.07,793,0.02396,2.252,352,19.0,2.542,,2.252,42.269000000000005
29,9.97,512,0.013672,1.428,359,7.0,2.518,,1.428,43.697
30,9.87,506,0.013834,1.463,346,7.0,2.571,,1.463,45.160000000000004
31,9.87,551,0.018149,1.587,347,10.0,2.459,,1.587,46.74700000000001
