Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,8.0,524,0.015267,1.485,353,8.0,2.496,,1.485,1.485
2,13.0,830,0.021687,2.464,337,18.0,2.433,,2.464,3.949
3,12.0,545,0.018349,1.669,327,10.0,2.38,,1.669,5.618
4,11.0,428,0.018692,1.446,296,8.0,2.36,,1.446,7.064
5,12.8,833,0.02401,3.377,247,20.0,2.517,,3.377,10.440999999999999
6,12.0,483,0.016563,2.301,210,8.0,2.462,,2.301,12.741999999999999
7,12.57,769,0.020806,3.451,223,16.0,2.467,,3.451,16.192999999999998
8,11.88,545,0.012844,2.346,232,7.0,2.563,,2.346,18.538999999999998
9,11.33,473,0.014799,1.798,263,7.0,2.408,,1.798,20.336999999999996
10,11.7,519,0.028902,2.102,247,15.0,2.459,,2.102,22.438999999999997
11,12.45,691,0.028944,1.946,355,20.0,2.504,,1.946,24.384999999999998
12,12.0,409,0.017115,1.142,358,7.0,2.44,,1.142,25.526999999999997
13,11.46,305,0.016393,0.853,357,5.0,2.39,,0.853,26.38
14,11.64,625,0.0224,2.019,310,14.0,2.518,,2.019,28.399
15,11.53,622,0.016077,1.88,331,10.0,2.569,,1.88,30.279
16,11.62,535,0.024299,2.146,249,13.0,2.585,,2.146,32.425
17,11.65,577,0.020797,2.175,265,12.0,2.503,,2.175,34.599999999999994
18,11.44,581,0.013769,2.248,258,8.0,2.458,,2.248,36.84799999999999
19,11.26,285,0.02807,1.056,270,8.0,2.554,,1.056,37.90399999999999
20,11.25,525,0.020952,1.777,295,11.0,2.4,,1.777,39.68099999999999
21,10.95,288,0.017361,0.866,333,5.0,2.524,,0.866,40.54699999999999
22,10.82,439,0.018223,1.371,320,8.0,2.41,,1.371,41.91799999999999
23,10.78,492,0.020325,1.457,338,10.0,2.575,,1.457,43.37499999999999
24,10.54,299,0.016722,0.885,338,5.0,2.575,,0.885,44.25999999999999
25,10.36,417,0.014388,1.231,339,6.0,2.504,,1.231,45.49099999999999
26,10.27,511,0.015656,1.454,352,8.0,2.63,,1.454,46.94499999999999
27,10.15,555,0.012613,1.577,352,7.0,2.587,,1.577,48.52199999999999
28,10.5,776,0.025773,2.303,337,20.0,2.602,,2.303,50.82499999999999
29,10.59,596,0.021812,1.713,348,13.0,2.539,,1.713,52.53799999999999
30,10.33,299,0.010033,0.903,331,3.0,2.528,,0.903,53.44099999999999
31,10.42,627,0.020734,1.786,351,13.0,2.486,,1.786,55.22699999999999
32,10.19,288,0.010417,0.821,351,3.0,2.493,,0.821,56.04799999999999
33,10.52,866,0.024249,2.435,356,21.0,2.6,,2.435,58.48299999999999
34,10.44,473,0.016913,1.332,355,8.0,2.569,,1.332,59.81499999999999
35,10.37,541,0.014787,1.707,317,8.0,2.523,,1.707,61.52199999999999
36,10.28,449,0.01559,1.424,315,7.0,2.526,,1.424,62.94599999999999
37,10.27,519,0.019268,1.562,332,10.0,2.455,,1.562,64.508
38,10.26,507,0.019724,1.472,344,10.0,2.44,,1.472,65.97999999999999
39,10.38,745,0.020134,2.134,349,15.0,2.497,,2.134,68.11399999999999
40,10.45,962,0.013514,2.758,349,13.0,2.456,,2.758,70.87199999999999
41,10.32,408,0.012255,1.225,333,5.0,2.52,,1.225,72.09699999999998
42,10.31,481,0.02079,1.355,355,10.0,2.578,,1.355,73.45199999999998
43,10.21,456,0.013158,1.299,351,6.0,2.544,,1.299,74.75099999999999
44,10.27,753,0.017264,2.092,360,13.0,2.422,,2.092,76.84299999999999
45,10.11,296,0.010135,0.842,352,3.0,2.557,,0.842,77.68499999999999
46,10.04,388,0.018041,1.094,355,7.0,2.601,,1.094,78.77899999999998
47,9.96,295,0.020339,0.842,351,6.0,2.631,,0.842,79.62099999999998
48,10.19,798,0.026316,2.297,347,21.0,2.525,,2.297,81.91799999999998
49,10.12,426,0.016432,1.195,356,7.0,2.46,,1.195,83.11299999999997
50,10.02,352,0.014205,1.148,307,5.0,2.562,,1.148,84.26099999999997
51,9.9,301,0.013289,0.934,322,4.0,2.508,,0.934,85.19499999999996
52,9.94,571,0.021016,1.606,356,12.0,2.601,,1.606,86.80099999999996
53,9.94,602,0.016611,1.709,352,10.0,2.512,,1.709,88.50999999999996
54,9.93,507,0.017751,1.455,349,9.0,2.607,,1.455,89.96499999999996
55,9.8,432,0.006944,1.253,345,3.0,2.648,,1.253,91.21799999999996
56,9.89,847,0.01771,2.453,345,15.0,2.504,,2.453,93.67099999999996
57,9.95,666,0.01952,2.014,331,13.0,2.512,,2.014,95.68499999999996
58,9.86,384,0.013021,1.148,334,5.0,2.531,,1.148,96.83299999999996
59,9.9,578,0.020761,1.727,335,12.0,2.535,,1.727,98.55999999999996
60,9.8,275,0.014545,0.844,326,4.0,2.415,,0.844,99.40399999999995
61,9.72,291,0.017182,0.855,341,5.0,2.639,,0.855,100.25899999999996
62,9.71,454,0.019824,1.325,343,9.0,2.507,,1.325,101.58399999999996
63,9.68,481,0.016632,1.386,347,8.0,2.468,,1.386,102.96999999999996
64,9.67,382,0.02356,1.121,341,9.0,2.576,,1.121,104.09099999999995
65,9.71,536,0.022388,1.576,340,12.0,2.431,,1.576,105.66699999999994
66,9.62,469,0.008529,1.373,342,4.0,2.375,,1.373,107.03999999999995
67,9.63,699,0.014306,2.016,347,10.0,2.551,,2.016,109.05599999999995
68,9.54,259,0.015444,0.763,339,4.0,2.459,,0.763,109.81899999999996
69,9.55,486,0.020576,1.395,348,10.0,2.504,,1.395,111.21399999999996
