Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,8.0,524,0.015267,3.434,153,8.0,2.496,,3.434,3.434
2,13.0,830,0.021687,2.22,374,18.0,2.433,,2.22,5.654
3,12.0,545,0.018349,1.297,420,10.0,2.38,,1.297,6.951
4,11.0,428,0.018692,1.064,402,8.0,2.36,,1.064,8.015
5,11.0,586,0.018771,1.39,422,11.0,2.498,,1.39,9.405000000000001
6,10.83,488,0.020492,1.164,419,10.0,2.506,,1.164,10.569
7,11.0,567,0.021164,1.404,404,12.0,2.409,,1.404,11.973
8,10.75,568,0.015845,1.365,416,9.0,2.505,,1.365,13.338000000000001
9,10.89,597,0.020101,1.433,417,12.0,2.533,,1.433,14.771
10,11.0,613,0.019576,1.506,407,12.0,2.501,,1.506,16.277
11,11.27,1099,0.012739,2.592,424,14.0,2.422,,2.592,18.869
12,12.0,994,0.020121,2.307,431,20.0,2.518,,2.307,21.176
13,11.54,430,0.013953,1.003,429,6.0,2.484,,1.003,22.179
14,11.14,487,0.01232,1.142,427,6.0,2.571,,1.142,23.320999999999998
15,11.0,490,0.018367,1.206,406,9.0,2.541,,1.206,24.526999999999997
16,10.62,464,0.010776,1.105,420,5.0,2.444,,1.105,25.631999999999998
17,10.35,503,0.011928,1.196,420,6.0,2.443,,1.196,26.828
18,10.06,394,0.01269,0.913,432,5.0,2.546,,0.913,27.741
19,9.89,478,0.014644,1.054,454,7.0,2.395,,1.054,28.794999999999998
20,10.25,708,0.024011,1.79,396,17.0,2.459,,1.79,30.584999999999997
21,10.24,485,0.020619,1.145,424,10.0,2.548,,1.145,31.729999999999997
22,10.0,398,0.012563,0.936,425,5.0,2.608,,0.936,32.666
23,10.0,449,0.022272,1.051,427,10.0,2.477,,1.051,33.717
24,9.92,497,0.016097,1.171,425,8.0,2.598,,1.171,34.888
25,10.0,546,0.021978,1.329,411,12.0,2.615,,1.329,36.217
26,9.77,527,0.00759,1.216,433,4.0,2.526,,1.216,37.433
27,9.63,304,0.019737,0.716,424,6.0,2.507,,0.716,38.149
28,9.86,911,0.017563,2.001,455,16.0,2.563,,2.001,40.15
29,9.72,455,0.013187,1.104,412,6.0,2.433,,1.104,41.254
