Episodio,Recompensa total,Pasos,Mean Reward Calculado,duracion (s),steps per second,Recompensa Episodio,mean action,loss,duration (s),Tiempo acumulado
1,14.0,616,0.022727,2.517,245,14.0,1.943,,2.517,2.517
2,11.5,600,0.015,2.273,264,9.0,2.27,,2.273,4.79
3,15.67,856,0.028037,2.603,329,24.0,2.348,,2.603,7.393000000000001
4,16.25,632,0.028481,1.774,356,18.0,2.313,,1.774,9.167000000000002
5,13.6,401,0.007481,1.097,366,3.0,2.631,,1.097,10.264000000000001
6,13.17,847,0.012987,2.297,369,11.0,2.601,,2.297,12.561000000000002
7,13.57,627,0.025518,1.74,360,16.0,2.49,,1.74,14.301000000000002
8,13.12,674,0.014837,2.012,335,10.0,2.856,,2.012,16.313000000000002
9,12.56,609,0.013136,1.732,352,8.0,2.456,,1.732,18.045
10,12.1,442,0.0181,1.267,349,8.0,2.267,,1.267,19.312
11,11.45,303,0.016502,0.834,363,5.0,2.063,,0.834,20.146
12,11.25,485,0.018557,1.326,366,9.0,2.328,,1.326,21.472
13,10.77,302,0.016556,0.822,367,5.0,2.364,,0.822,22.294
14,10.71,466,0.021459,1.282,364,10.0,2.324,,1.282,23.576
15,10.53,474,0.016878,1.329,357,8.0,2.508,,1.329,24.905
16,10.12,306,0.013072,0.864,354,4.0,2.379,,0.864,25.769000000000002
17,9.76,377,0.01061,1.241,304,4.0,2.276,,1.241,27.01
18,9.44,498,0.008032,1.455,342,4.0,2.614,,1.455,28.465000000000003
19,9.32,421,0.016627,1.167,361,7.0,2.418,,1.167,29.632000000000005
20,9.2,505,0.013861,1.529,330,7.0,2.253,,1.529,31.161000000000005
21,9.0,301,0.016611,0.874,344,5.0,2.379,,0.874,32.035000000000004
22,9.45,784,0.024235,3.052,257,19.0,2.423,,3.052,35.087
23,9.43,498,0.018072,1.654,301,9.0,2.452,,1.654,36.741
24,9.33,463,0.015119,1.456,318,7.0,2.432,,1.456,38.197
25,9.0,376,0.00266,1.097,343,1.0,2.553,,1.097,39.294000000000004
26,8.77,291,0.010309,0.869,335,3.0,2.595,,0.869,40.163000000000004
27,8.59,300,0.013333,0.871,345,4.0,2.247,,0.871,41.034000000000006
28,8.89,634,0.026814,2.068,307,17.0,2.292,,2.068,43.102000000000004
29,8.86,526,0.015209,1.488,354,8.0,2.471,,1.488,44.59
30,8.63,429,0.004662,1.248,344,2.0,2.352,,1.248,45.838
31,8.61,553,0.014467,1.628,340,8.0,2.165,,1.628,47.466
32,8.59,408,0.019608,1.361,300,8.0,2.355,,1.361,48.827
33,8.52,377,0.015915,1.108,340,6.0,2.467,,1.108,49.934999999999995
34,8.71,1044,0.014368,3.101,337,15.0,2.635,,3.101,53.035999999999994
35,8.57,260,0.015385,0.722,360,4.0,2.208,,0.722,53.757999999999996
36,8.47,299,0.016722,0.819,365,5.0,2.405,,0.819,54.577
37,8.41,518,0.011583,1.441,359,6.0,2.533,,1.441,56.018
38,8.61,638,0.025078,1.732,368,16.0,2.403,,1.732,57.75
39,8.51,504,0.009921,1.423,354,5.0,2.355,,1.423,59.173
40,8.48,387,0.018088,1.13,342,7.0,2.196,,1.13,60.303000000000004
41,8.37,300,0.013333,0.857,350,4.0,2.303,,0.857,61.160000000000004
42,8.33,445,0.01573,1.231,362,7.0,2.49,,1.231,62.391000000000005
43,8.3,453,0.015453,1.238,366,7.0,2.331,,1.238,63.629000000000005
44,8.18,428,0.007009,1.173,365,3.0,2.561,,1.173,64.802
45,8.29,698,0.018625,1.924,363,13.0,2.491,,1.924,66.72600000000001
46,8.3,513,0.017544,1.458,352,9.0,2.46,,1.458,68.18400000000001
47,8.23,367,0.013624,1.025,358,5.0,2.343,,1.025,69.20900000000002
48,8.31,697,0.017217,1.991,350,12.0,2.588,,1.991,71.20000000000002
49,8.18,289,0.00692,0.805,359,2.0,2.664,,0.805,72.00500000000002
50,8.14,604,0.009934,1.715,352,6.0,2.363,,1.715,73.72000000000003
51,8.31,784,0.021684,2.197,357,17.0,2.583,,2.197,75.91700000000003
52,8.27,309,0.019417,0.868,356,6.0,2.246,,0.868,76.78500000000003
53,8.23,289,0.020761,0.794,364,6.0,2.481,,0.794,77.57900000000002
54,8.43,1065,0.01784,3.036,351,19.0,2.611,,3.036,80.61500000000002
55,8.36,423,0.01182,1.275,332,5.0,2.638,,1.275,81.89000000000003
56,8.3,296,0.016892,0.845,350,5.0,2.358,,0.845,82.73500000000003
57,8.26,466,0.012876,1.318,354,6.0,2.532,,1.318,84.05300000000003
58,8.28,561,0.016043,1.546,363,9.0,2.207,,1.546,85.59900000000003
59,8.2,310,0.012903,0.872,356,4.0,2.265,,0.872,86.47100000000003
60,8.37,846,0.021277,2.422,349,18.0,2.597,,2.422,88.89300000000003
61,8.31,421,0.011876,1.216,346,5.0,2.444,,1.216,90.10900000000002
62,8.47,752,0.023936,2.065,364,18.0,3.013,,2.065,92.17400000000002
63,8.44,481,0.014553,1.394,345,7.0,2.588,,1.394,93.56800000000003
64,8.53,702,0.019943,1.997,352,14.0,2.587,,1.997,95.56500000000003
65,8.48,292,0.017123,0.839,348,5.0,2.538,,0.839,96.40400000000002
66,8.58,849,0.017668,2.411,352,15.0,2.548,,2.411,98.81500000000003
67,8.54,591,0.010152,1.684,351,6.0,2.601,,1.684,100.49900000000002
68,8.59,705,0.017021,1.972,357,12.0,2.729,,1.972,102.47100000000002
69,8.57,419,0.016706,1.187,353,7.0,2.21,,1.187,103.65800000000002
70,8.6,481,0.022869,1.402,343,11.0,2.15,,1.402,105.06000000000002
71,8.56,383,0.015666,1.151,333,6.0,2.449,,1.151,106.21100000000001
72,8.53,315,0.019048,0.908,347,6.0,2.387,,0.908,107.11900000000001
73,8.48,317,0.015773,0.9,352,5.0,2.293,,0.9,108.01900000000002
74,8.51,489,0.022495,1.394,351,11.0,2.352,,1.394,109.41300000000003
75,8.45,470,0.008511,1.327,354,4.0,2.677,,1.327,110.74000000000002
76,8.39,331,0.012085,1.019,325,4.0,2.369,,1.019,111.75900000000003
77,8.49,732,0.021858,2.193,334,16.0,2.4,,2.193,113.95200000000003
78,8.55,528,0.024621,1.501,352,13.0,2.235,,1.501,115.45300000000003
79,8.62,833,0.016807,2.404,346,14.0,2.455,,2.404,117.85700000000003
80,8.52,292,0.003425,0.935,312,1.0,2.425,,0.935,118.79200000000003
81,8.57,598,0.020067,1.718,348,12.0,2.49,,1.718,120.51000000000003
82,8.54,418,0.014354,1.184,353,6.0,2.488,,1.184,121.69400000000003
83,8.55,552,0.018116,1.588,348,10.0,2.163,,1.588,123.28200000000002
84,8.57,546,0.018315,1.568,348,10.0,2.269,,1.568,124.85000000000002
85,8.51,300,0.01,0.863,348,3.0,2.427,,0.863,125.71300000000002
86,8.51,505,0.017822,1.461,346,9.0,2.556,,1.461,127.17400000000002
87,8.56,575,0.022609,1.656,347,13.0,2.278,,1.656,128.83
88,8.6,1022,0.011742,2.97,344,12.0,2.289,,2.97,131.8
89,8.66,632,0.022152,1.792,353,14.0,2.453,,1.792,133.592
90,8.66,430,0.018605,1.266,340,8.0,2.27,,1.266,134.858
91,8.65,644,0.012422,1.847,349,8.0,2.641,,1.847,136.705
92,8.63,414,0.016908,1.17,354,7.0,2.367,,1.17,137.875
93,8.69,616,0.022727,1.743,354,14.0,2.271,,1.743,139.618
94,8.8,802,0.023691,2.273,353,19.0,2.399,,2.273,141.891
95,8.86,794,0.018892,2.413,329,15.0,2.723,,2.413,144.304
96,8.81,306,0.013072,0.882,347,4.0,2.807,,0.882,145.186
97,8.89,965,0.01658,15.52,62,16.0,2.462,0.008736,15.52,160.70600000000002
98,8.81,259,0.003861,5.455,47,1.0,2.378,0.007183,5.455,166.16100000000003
99,8.9,656,0.027439,13.709,48,18.0,2.386,0.007383,13.709,179.87000000000003
100,8.88,460,0.015217,8.843,52,7.0,2.491,0.008178,8.843,188.71300000000002
101,8.94,833,0.02401,16.49,51,20.0,2.162,0.008286,16.49,205.20300000000003
102,8.86,350,0.002857,7.51,47,1.0,2.746,0.008721,7.51,212.71300000000002
103,8.69,358,0.019553,7.648,47,7.0,2.67,0.008575,7.648,220.36100000000002
104,8.64,480,0.027083,10.29,47,13.0,1.994,0.008772,10.29,230.651
105,8.63,419,0.004773,8.926,47,2.0,1.761,0.010234,8.926,239.577
106,8.62,713,0.014025,15.052,47,10.0,2.553,0.008012,15.052,254.629
107,8.55,477,0.018868,10.191,47,9.0,3.034,0.006979,10.191,264.82
108,8.5,370,0.013514,7.763,48,5.0,3.062,0.010445,7.763,272.58299999999997
109,8.61,586,0.032423,12.485,47,19.0,2.587,0.008808,12.485,285.068
110,8.64,507,0.021696,11.072,46,11.0,2.602,0.009511,11.072,296.14
111,8.68,397,0.02267,8.728,45,9.0,2.569,0.007321,8.728,304.868
112,8.64,395,0.012658,8.492,47,5.0,2.643,0.007926,8.492,313.36
113,8.64,365,0.013699,7.915,46,5.0,1.91,0.007822,7.915,321.27500000000003
114,8.76,909,0.024202,20.101,45,22.0,2.238,0.007717,20.101,341.37600000000003
115,8.93,801,0.031211,17.527,46,25.0,2.136,0.007828,17.527,358.903
116,8.96,267,0.026217,6.02,44,7.0,1.895,0.009852,6.02,364.923
117,8.95,454,0.006608,10.086,45,3.0,2.233,0.008005,10.086,375.009
118,9.03,984,0.012195,21.736,45,12.0,2.346,0.008065,21.736,396.745
119,9.03,475,0.014737,10.322,46,7.0,3.015,0.008686,10.322,407.067
120,9.0,400,0.01,8.668,46,4.0,2.53,0.006985,8.668,415.735
121,9.07,693,0.017316,15.263,45,12.0,1.929,0.008092,15.263,430.998
122,8.94,280,0.021429,6.16,45,6.0,3.25,0.007477,6.16,437.158
123,8.91,516,0.011628,11.373,45,6.0,2.983,0.009811,11.373,448.531
124,8.94,466,0.021459,10.394,45,10.0,2.914,0.007247,10.394,458.925
125,9.09,485,0.03299,10.579,46,16.0,2.32,0.006892,10.579,469.504
126,9.13,425,0.016471,9.451,45,7.0,2.049,0.007241,9.451,478.95500000000004
127,9.19,549,0.018215,12.159,45,10.0,1.639,0.007045,12.159,491.11400000000003
128,9.06,250,0.016,5.492,46,4.0,2.608,0.007461,5.492,496.60600000000005
129,9.13,874,0.017162,19.005,46,15.0,2.273,0.006722,19.005,515.6110000000001
130,9.16,383,0.013055,8.395,46,5.0,1.922,0.005909,8.395,524.0060000000001
131,9.13,335,0.014925,7.276,46,5.0,1.827,0.007264,7.276,531.282
132,9.12,385,0.018182,8.353,46,7.0,1.803,0.007013,8.353,539.635
133,9.13,514,0.013619,11.266,46,7.0,2.428,0.007183,11.266,550.901
134,9.07,500,0.018,10.735,47,9.0,2.216,0.006176,10.735,561.636
135,9.09,462,0.012987,10.1,46,6.0,2.537,0.006287,10.1,571.736
136,9.16,490,0.02449,10.945,45,12.0,2.431,0.009171,10.945,582.681
137,9.14,307,0.013029,6.806,45,4.0,2.678,0.009388,6.806,589.4870000000001
138,9.03,495,0.010101,10.995,45,5.0,2.048,0.007432,10.995,600.4820000000001
139,9.06,469,0.017058,10.623,44,8.0,2.015,0.00822,10.623,611.1050000000001
140,9.07,431,0.018561,9.513,45,8.0,2.137,0.008403,9.513,620.6180000000002
141,9.1,502,0.013944,11.1,45,7.0,2.384,0.006272,11.1,631.7180000000002
142,9.08,397,0.012594,8.856,45,5.0,1.819,0.007918,8.856,640.5740000000002
143,9.14,504,0.025794,11.24,45,13.0,2.756,0.008177,11.24,651.8140000000002
144,9.18,301,0.023256,6.224,48,7.0,2.193,0.004689,6.224,658.0380000000002
145,9.11,508,0.011811,10.155,50,6.0,2.715,0.007486,10.155,668.1930000000002
146,9.13,747,0.014726,16.253,46,11.0,2.336,0.006793,16.253,684.4460000000003
147,9.13,319,0.015674,7.055,45,5.0,2.777,0.005046,7.055,691.5010000000002
148,9.1,589,0.01528,13.059,45,9.0,2.581,0.008924,13.059,704.5600000000002
149,9.2,689,0.017417,15.434,45,12.0,2.527,0.006124,15.434,719.9940000000001
150,9.21,531,0.013183,11.812,45,7.0,2.416,0.006171,11.812,731.8060000000002
151,9.23,812,0.023399,18.266,44,19.0,2.267,0.006156,18.266,750.0720000000001
152,9.32,492,0.030488,11.094,44,15.0,2.305,0.005785,11.094,761.1660000000002
153,9.31,298,0.016779,6.635,45,5.0,3.084,0.005556,6.635,767.8010000000002
154,9.24,470,0.025532,10.327,46,12.0,1.721,0.008446,10.327,778.1280000000002
155,9.37,740,0.024324,16.143,46,18.0,1.611,0.005829,16.143,794.2710000000002
156,9.35,308,0.00974,6.741,46,3.0,2.37,0.00662,6.741,801.0120000000002
157,9.37,528,0.015152,11.618,45,8.0,2.248,0.011017,11.618,812.6300000000002
158,9.46,744,0.024194,16.619,45,18.0,2.04,0.010152,16.619,829.2490000000003
159,9.44,269,0.007435,6.198,43,2.0,2.253,0.006934,6.198,835.4470000000002
160,9.39,599,0.021703,13.384,45,13.0,3.012,0.008209,13.384,848.8310000000002
161,9.57,784,0.029337,17.666,44,23.0,1.987,0.007626,17.666,866.4970000000003
162,9.52,556,0.023381,12.225,45,13.0,2.068,0.007564,12.225,878.7220000000003
163,9.48,382,0.007853,8.421,45,3.0,2.516,0.006152,8.421,887.1430000000004
164,9.38,298,0.013423,6.495,46,4.0,2.906,0.007211,6.495,893.6380000000004
165,9.5,726,0.023416,16.018,45,17.0,2.533,0.007642,16.018,909.6560000000004
166,9.45,588,0.017007,12.753,46,10.0,2.806,0.006583,12.753,922.4090000000004
167,9.44,544,0.009191,12.282,44,5.0,1.869,0.006923,12.282,934.6910000000005
168,9.49,915,0.018579,20.25,45,17.0,2.519,0.006269,20.25,954.9410000000005
169,9.46,394,0.010152,8.961,44,4.0,2.777,0.005874,8.961,963.9020000000005
170,9.41,372,0.016129,8.324,45,6.0,2.03,0.004786,8.324,972.2260000000005
171,9.54,785,0.024204,17.454,45,19.0,2.325,0.007076,17.454,989.6800000000004
172,9.62,603,0.023217,13.474,45,14.0,2.746,0.006044,13.474,1003.1540000000005
173,9.68,497,0.022133,10.868,46,11.0,3.129,0.007476,10.868,1014.0220000000005
174,9.61,275,0.014545,6.027,46,4.0,2.542,0.00678,6.027,1020.0490000000005
175,9.64,500,0.014,11.112,45,7.0,2.672,0.009455,11.112,1031.1610000000005
176,9.72,604,0.019868,13.268,46,12.0,2.553,0.009764,13.268,1044.4290000000005
177,9.71,603,0.024876,13.709,44,15.0,2.575,0.008284,13.709,1058.1380000000006
178,9.63,322,0.015528,7.071,46,5.0,1.59,0.006886,7.071,1065.2090000000005
179,9.64,610,0.02459,13.577,45,15.0,2.593,0.007698,13.577,1078.7860000000005
180,9.69,481,0.012474,10.696,45,6.0,2.058,0.006968,10.696,1089.4820000000004
181,9.73,702,0.022792,15.788,44,16.0,2.849,0.006475,15.788,1105.2700000000004
182,9.8,553,0.023508,12.311,45,13.0,2.57,0.007348,12.311,1117.5810000000004
183,9.76,338,0.017751,6.69,51,6.0,2.985,0.008351,6.69,1124.2710000000004
184,9.71,290,0.017241,6.145,47,5.0,1.541,0.005958,6.145,1130.4160000000004
185,9.74,363,0.016529,7.992,45,6.0,2.019,0.007603,7.992,1138.4080000000004
186,9.79,575,0.024348,12.62,46,14.0,1.49,0.007658,12.62,1151.0280000000002
187,9.82,643,0.024883,14.37,45,16.0,2.26,0.006631,14.37,1165.3980000000001
188,9.76,377,0.015915,8.418,45,6.0,2.637,0.00546,8.418,1173.816
189,9.79,712,0.023876,15.866,45,17.0,2.228,0.005463,15.866,1189.682
190,9.82,480,0.022917,10.934,44,11.0,2.992,0.007317,10.934,1200.616
191,9.92,780,0.023077,17.468,45,18.0,2.123,0.006367,17.468,1218.084
192,9.98,543,0.023941,12.33,44,13.0,2.035,0.005498,12.33,1230.414
193,9.97,539,0.024119,12.038,45,13.0,1.994,0.0063,12.038,1242.452
194,9.89,593,0.01855,13.015,46,11.0,1.868,0.010586,13.015,1255.467
195,9.88,719,0.019471,15.934,45,14.0,2.474,0.009508,15.934,1271.401
196,9.97,782,0.016624,17.088,46,13.0,2.354,0.007447,17.088,1288.489
197,9.88,386,0.018135,8.696,44,7.0,1.795,0.007338,8.696,1297.185
198,9.96,418,0.021531,9.268,45,9.0,1.804,0.007705,9.268,1306.453
199,10.03,1014,0.024655,22.756,45,25.0,1.932,0.007683,22.756,1329.209
200,10.11,784,0.019133,17.51,45,15.0,2.361,0.00658,17.51,1346.719
201,9.94,270,0.011111,6.215,43,3.0,1.633,0.006424,6.215,1352.934
202,10.15,722,0.030471,16.184,45,22.0,2.342,0.006475,16.184,1369.118
203,10.15,311,0.022508,6.865,45,7.0,2.514,0.006348,6.865,1375.983
204,10.15,702,0.018519,15.319,46,13.0,2.601,0.005689,15.319,1391.302
205,10.23,596,0.016779,12.956,46,10.0,2.284,0.005648,12.956,1404.2579999999998
206,10.19,442,0.013575,9.888,45,6.0,2.505,0.007226,9.888,1414.1459999999997
207,10.28,808,0.022277,18.265,44,18.0,3.168,0.005585,18.265,1432.4109999999998
208,10.36,736,0.017663,16.843,44,13.0,1.625,0.006851,16.843,1449.254
209,10.29,533,0.022514,11.954,45,12.0,2.156,0.005807,11.954,1461.2079999999999
210,10.21,523,0.005736,11.763,44,3.0,2.212,0.007727,11.763,1472.9709999999998
211,10.18,272,0.022059,6.212,44,6.0,1.831,0.006807,6.212,1479.1829999999998
212,10.19,300,0.02,6.69,45,6.0,2.763,0.007818,6.69,1485.8729999999998
213,10.21,344,0.020349,7.663,45,7.0,2.703,0.007805,7.663,1493.5359999999998
214,10.05,410,0.014634,9.025,45,6.0,2.18,0.007283,9.025,1502.561
215,9.99,911,0.020856,20.151,45,19.0,2.509,0.008177,20.151,1522.712
216,10.02,508,0.019685,11.295,45,10.0,1.644,0.005532,11.295,1534.007
217,10.25,1004,0.025896,22.503,45,26.0,2.152,0.007187,22.503,1556.51
218,10.2,392,0.017857,8.723,45,7.0,2.214,0.006582,8.723,1565.233
219,10.27,585,0.023932,13.176,44,14.0,2.366,0.006036,13.176,1578.4089999999999
220,10.38,690,0.021739,15.442,45,15.0,2.541,0.006388,15.442,1593.8509999999999
221,10.38,597,0.020101,12.671,47,12.0,3.235,0.00642,12.671,1606.522
222,10.37,278,0.017986,5.713,49,5.0,2.083,0.005186,5.713,1612.235
223,10.36,415,0.012048,8.291,50,5.0,3.133,0.006694,8.291,1620.5259999999998
224,10.48,994,0.022133,21.88,45,22.0,2.612,0.005514,21.88,1642.406
225,10.37,436,0.011468,10.087,43,5.0,2.133,0.006736,10.087,1652.493
226,10.33,262,0.01145,6.074,43,3.0,2.595,0.004801,6.074,1658.567
227,10.41,614,0.029316,13.808,44,18.0,2.621,0.007174,13.808,1672.375
228,10.54,581,0.02926,13.03,45,17.0,2.117,0.005604,13.03,1685.405
229,10.53,475,0.029474,10.683,44,14.0,1.863,0.008985,10.683,1696.088
230,10.6,523,0.022945,11.788,44,12.0,2.543,0.009954,11.788,1707.876
231,10.76,683,0.030747,15.162,45,21.0,2.723,0.007273,15.162,1723.038
232,10.76,382,0.018325,8.644,44,7.0,2.089,0.009252,8.644,1731.682
233,10.77,454,0.017621,10.228,44,8.0,2.813,0.007874,10.228,1741.91
234,10.76,363,0.022039,7.948,46,8.0,2.044,0.007897,7.948,1749.8580000000002
235,10.83,733,0.017735,16.293,45,13.0,2.794,0.007655,16.293,1766.151
236,10.79,509,0.015717,11.482,44,8.0,3.014,0.008256,11.482,1777.633
237,10.82,390,0.017949,8.714,45,7.0,2.944,0.008956,8.714,1786.347
238,10.88,561,0.019608,12.793,44,11.0,2.569,0.007184,12.793,1799.1399999999999
239,10.88,380,0.021053,8.523,45,8.0,2.568,0.006572,8.523,1807.6629999999998
240,10.94,607,0.023064,13.595,45,14.0,2.369,0.006777,13.595,1821.2579999999998
